Title,Default Colour
Playable Character,#80FF00
Word,Description
Albedo,Descriptive
Amber,Descriptive
Barbara,Descriptive
Beidou,Descriptive
Bennett,Descriptive
Chongyun,Descriptive
Diluc,Descriptive
Diona,Descriptive
Fischl,Descriptive
Jean,Descriptive
Kaeya,Descriptive
Keqing,Descriptive
Klee,Descriptive
Lisa,Descriptive
Mona,Descriptive
Ningguang,Descriptive
Noelle,Descriptive
Qiqi,Descriptive
Razor,Descriptive
Sucrose,Descriptive
Tartaglia,Descriptive
Traveler,Descriptive
Venti,Descriptive
Xiangling,Descriptive
Xingqiu,Descriptive
Xinyan,Descriptive
Zhongli,Descriptive
Ayaka,Descriptive
Ganyu,Descriptive
Xiao,Descriptive
